dataset_name,description,year,scenario,link,access,licence_spdx,n_audio_samples,n_participants,n_assessments,total_duration_min,audio_ambisonics_available,audio_ambisonics_bit_depth,audio_ambisonics_sampling_rate_hz,audio_ambisonics_order,audio_ambisonics_clip_duration_s,audio_binaural_available,audio_binaural_bit_depth,audio_binaural_sampling_rate_hz,audio_binaural_clip_duration_s,audio_monaural_available,audio_monaural_clip_duration_s,visual_available,visual_format,visual_resolution,visual_frame_rate_fps,visual_clip_duration_s,annotation_framework,experimental_setting,acoustic_data_available,acoustic_measuring_instrument,environmental_data_available
Gilmour et al.'s dataset,"Dataset to study mood recovery effects of natural vs. anthropogenic sounds, using 3-min clips rated by university students before and after a stressor.",,Natural,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311487#pone.0311487.s005,Partially,Unknown,5,68,340,15.0,False,,,,,True,,,180.0,False,,False,,,,,"Self-reported mood scales (e.g., positive and negative affect)",Lab-based,False,,False
Rummukainen et al.'s dataset,"Audiovisual urban scenes captured with ambisonics and 360° video, annotated with perceptual attributes via sorting tasks and interviews.",2014,Urban,http://research.spa.aalto.fi/publications/papers/plosone14-avscenes/,Partially,Unknown,19,30,570,19.0,True,,48000,1,60.0,False,,,,False,,True,360 Video,,,,Perceptual attribute sorting and interviews (qualitative descriptors),Lab-based,False,,False
Sun et al.'s dataset,"VR-based immersive dataset of 360° audiovisual recordings from urban public open spaces, annotated for soundscape classification and perceptual attributes.",2019,Urban,https://www.sciencedirect.com/science/article/pii/S0169204618305899?via%3Dihub,Fully,Unknown,50,40,2000,50.0,True,,48000,1,60.0,False,,,,False,,True,360 Video,,,,"Soundscape classification (e.g., calm, exciting) and perceptual ratings",Lab-based,False,,False
Verma et al.'s dataset,Spatiotemporal dataset of urban audiovisual recordings in Mumbai annotated using ISO-based perceptual labels to predict human perception in an urban setting.,2020,Urban,https://data.mendeley.com/datasets/6fnn7vndwh/1,Fully,Unknown,150,73,10512,25.0,False,,,,,True,,,10.0,False,,True,Video,,,,ISO/TS 12913-2:2018,Online,False,,False
Carvalho et al.'s dataset,"Audiovisual urban recordings with 360° video and ambisonic audio, evaluated for the perceived affective qualities of urban soundscapes via online and VR experiments.",2024,Urban,https://doi.org/10.1371/journal.pone.0306261,Partially,Unknown,6,191,1146,72.0,True,,48000,1,600.0,False,,,,False,,True,360 Video,4K,,600.0,ISO/TS 12913-2:2018,Lab-based,True,Ambisonic microphone and sound level meter,False
Torresin et al.'s dataset,"Indoor soundscape dataset with 20 one-minute loudspeaker-reproduced scenarios combining outdoor façade noise and indoor sounds, assessed with a 97-item perceptual questionnaire in a mock-up living room.",2020,Indoor,https://doi.org/10.1016/j.buildenv.2020.107152,Partially,Unknown,20,35,640,20.0,False,,,,,True,,,,False,,False,,,,,Custom,Lab-based,False,,False
Toet et al.'s dataset,Affective annotation of audio clips from IADS-E and short film fragments using the EmojiGrid to provide rich valence–arousal responses.,2020,Various,https://doi.org/10.17605/OSF.IO/GTZH4,Fully,Unknown,77,150,11550,7.7,False,,,,,True,,44100,6.0,False,,False,,,,,EmojiGrid (valence–arousal grid ratings),Online,False,,False
McMullin et al.'s dataset,"Dataset of 200 natural auditory scenes evaluated for global properties such as openness, naturalness, transience, and navigability.",,Various,https://osf.io/zj4xe/,Fully,Unknown,200,68,13600,200.0,False,,,,,True,,44100,4.0,False,,False,,,,,Custom,Online,False,,False
The Silenzi in Quota dataset,"Field-recorded dataset of natural protected areas in the Italian Alps, assessed via ISO 12913 questionnaires and acoustic analysis to characterise quiet areas.",2023,Natural,https://zenodo.org/records/10253143,Fully,Unknown,28,25,443,28.0,False,,,,,True,,,60.0,False,,False,,,,,ISO/TS 12913-2:2018,On-site,False,,False
The Lion City Soundscapes (LCS),"The Lion City Soundscapes (LCS) dataset contains over 24 hours of full-length urban soundscape recordings collected at 62 locations in Singapore, together with one-minute perceptually diverse excerpts generated using a modified partitioning around medoids (PAM) algorithm guided by Pleasantness–Eventfulness predictions.",2024,Urban,https://doi.org/10.21979/N9/AVHSBX,Fully,Unknown,62,,,62.0,True,24,48000,3,,True,24,48000,,True,,True,360 Video,4096×2048,,,ISO/TS 12913-2:2018,Other,True,GRAS 146AE Free-field Microphone + HEAD Acoustics SQobold (Class 1),True
